"Tabela 5442 - Rendimento médio real, habitualmente recebido por mês e efetivamente recebido no mês de referência, do trabalho principal, por grupamentos de atividade no trabalho principal"
"Variável - Rendimento médio real do trabalho principal, habitualmente recebido por mês, pelas pessoas de 14 anos ou mais de idade, ocupadas na semana de referência, com rendimento de trabalho (Reais)"
"Grupamento de atividades no trabalho principal - PNADC";"Brasil, Grande Região e Unidade da Federação";"Trimestre";""
"Total";"Rondônia";"4º trimestre 2021";"2089"
"Total";"Acre";"1º trimestre 2018";"1960"
"Total";"Acre";"2º trimestre 2018";"1999"
"Total";"Acre";"3º trimestre 2018";"2057"
"Total";"Acre";"4º trimestre 2018";"2066"
"Total";"Acre";"1º trimestre 2019";"2151"
"Total";"Acre";"2º trimestre 2019";"2122"
"Total";"Acre";"3º trimestre 2019";"2092"
"Total";"Acre";"4º trimestre 2019";"2164"
"Total";"Acre";"1º trimestre 2020";"2054"
"Total";"Acre";"2º trimestre 2020";"2300"
"Total";"Acre";"3º trimestre 2020";"2251"
"Total";"Acre";"4º trimestre 2020";"2160"
"Total";"Acre";"1º trimestre 2021";"2095"
"Total";"Acre";"2º trimestre 2021";"2145"
"Total";"Acre";"3º trimestre 2021";"2178"
"Total";"Acre";"4º trimestre 2021";"2067"
"Total";"Amazonas";"1º trimestre 2018";"2017"
"Total";"Amazonas";"2º trimestre 2018";"2011"
"Total";"Amazonas";"3º trimestre 2018";"1917"
"Total";"Amazonas";"4º trimestre 2018";"1880"
"Total";"Amazonas";"1º trimestre 2019";"1929"
"Total";"Amazonas";"2º trimestre 2019";"1889"
"Total";"Amazonas";"3º trimestre 2019";"1944"
"Total";"Amazonas";"4º trimestre 2019";"1893"
"Total";"Amazonas";"1º trimestre 2020";"1913"
"Total";"Amazonas";"2º trimestre 2020";"2238"
"Total";"Amazonas";"3º trimestre 2020";"2080"
"Total";"Amazonas";"4º trimestre 2020";"2004"
"Total";"Amazonas";"1º trimestre 2021";"1845"
"Total";"Amazonas";"2º trimestre 2021";"1844"
"Total";"Amazonas";"3º trimestre 2021";"1739"
"Total";"Amazonas";"4º trimestre 2021";"1758"
"Total";"Roraima";"1º trimestre 2018";"2611"
"Total";"Roraima";"2º trimestre 2018";"2511"
"Total";"Roraima";"3º trimestre 2018";"2467"
"Total";"Roraima";"4º trimestre 2018";"2442"
"Total";"Roraima";"1º trimestre 2019";"2407"
"Total";"Roraima";"2º trimestre 2019";"2573"
"Total";"Roraima";"3º trimestre 2019";"2579"
"Total";"Roraima";"4º trimestre 2019";"2395"
"Total";"Roraima";"1º trimestre 2020";"2454"
"Total";"Roraima";"2º trimestre 2020";"2622"
"Total";"Roraima";"3º trimestre 2020";"2581"
"Total";"Roraima";"4º trimestre 2020";"2459"
"Total";"Roraima";"1º trimestre 2021";"2289"
"Total";"Roraima";"2º trimestre 2021";"2099"
"Total";"Roraima";"3º trimestre 2021";"2141"
"Total";"Roraima";"4º trimestre 2021";"2221"
"Total";"Pará";"1º trimestre 2018";"1752"
"Total";"Pará";"2º trimestre 2018";"1714"
"Total";"Pará";"3º trimestre 2018";"1743"
"Total";"Pará";"4º trimestre 2018";"1706"
"Total";"Pará";"1º trimestre 2019";"1730"
"Total";"Pará";"2º trimestre 2019";"1684"
"Total";"Pará";"3º trimestre 2019";"1739"
"Total";"Pará";"4º trimestre 2019";"1791"
"Total";"Pará";"1º trimestre 2020";"1755"
"Total";"Pará";"2º trimestre 2020";"1964"
"Total";"Pará";"3º trimestre 2020";"1841"
"Total";"Pará";"4º trimestre 2020";"1812"
"Total";"Pará";"1º trimestre 2021";"1876"
"Total";"Pará";"2º trimestre 2021";"1769"
"Total";"Pará";"3º trimestre 2021";"1783"
"Total";"Pará";"4º trimestre 2021";"1654"
"Total";"Amapá";"1º trimestre 2018";"2455"
"Total";"Amapá";"2º trimestre 2018";"2278"
"Total";"Amapá";"3º trimestre 2018";"2151"
"Total";"Amapá";"4º trimestre 2018";"2184"
"Total";"Amapá";"1º trimestre 2019";"2146"
"Total";"Amapá";"2º trimestre 2019";"2138"
"Total";"Amapá";"3º trimestre 2019";"2115"
"Total";"Amapá";"4º trimestre 2019";"2129"
"Total";"Amapá";"1º trimestre 2020";"2121"
"Total";"Amapá";"2º trimestre 2020";"2233"
"Total";"Amapá";"3º trimestre 2020";"2314"
"Total";"Amapá";"4º trimestre 2020";"2227"
"Total";"Amapá";"1º trimestre 2021";"2222"
"Total";"Amapá";"2º trimestre 2021";"2228"
"Total";"Amapá";"3º trimestre 2021";"2197"
"Total";"Amapá";"4º trimestre 2021";"2169"
"Total";"Tocantins";"1º trimestre 2018";"2115"
"Total";"Tocantins";"2º trimestre 2018";"2148"
"Total";"Tocantins";"3º trimestre 2018";"2196"
"Total";"Tocantins";"4º trimestre 2018";"2116"
"Total";"Tocantins";"1º trimestre 2019";"2112"
"Total";"Tocantins";"2º trimestre 2019";"2094"
"Total";"Tocantins";"3º trimestre 2019";"2084"
"Total";"Tocantins";"4º trimestre 2019";"2068"
"Total";"Tocantins";"1º trimestre 2020";"2066"
"Total";"Tocantins";"2º trimestre 2020";"2094"
"Total";"Tocantins";"3º trimestre 2020";"2075"
"Total";"Tocantins";"4º trimestre 2020";"2103"
"Total";"Tocantins";"1º trimestre 2021";"2266"
"Total";"Tocantins";"2º trimestre 2021";"2059"
"Total";"Tocantins";"3º trimestre 2021";"2266"
"Total";"Tocantins";"4º trimestre 2021";"2055"
"Total";"Maranhão";"1º trimestre 2018";"1500"
"Total";"Maranhão";"2º trimestre 2018";"1519"
"Total";"Maranhão";"3º trimestre 2018";"1544"
"Total";"Maranhão";"4º trimestre 2018";"1579"
"Total";"Maranhão";"1º trimestre 2019";"1622"
"Total";"Maranhão";"2º trimestre 2019";"1495"
"Total";"Maranhão";"3º trimestre 2019";"1521"
"Total";"Maranhão";"4º trimestre 2019";"1532"
"Total";"Maranhão";"1º trimestre 2020";"1579"
"Total";"Maranhão";"2º trimestre 2020";"1611"
"Total";"Maranhão";"3º trimestre 2020";"1558"
"Total";"Maranhão";"4º trimestre 2020";"1532"
"Total";"Maranhão";"1º trimestre 2021";"1586"
"Total";"Maranhão";"2º trimestre 2021";"1501"
"Total";"Maranhão";"3º trimestre 2021";"1506"
"Total";"Maranhão";"4º trimestre 2021";"1418"
"Total";"Piauí";"1º trimestre 2018";"1571"
"Total";"Piauí";"2º trimestre 2018";"1532"
"Total";"Piauí";"3º trimestre 2018";"1511"
"Total";"Piauí";"4º trimestre 2018";"1569"
"Total";"Piauí";"1º trimestre 2019";"1633"
"Total";"Piauí";"2º trimestre 2019";"1571"
"Total";"Piauí";"3º trimestre 2019";"1507"
"Total";"Piauí";"4º trimestre 2019";"1451"
"Total";"Piauí";"1º trimestre 2020";"1500"
"Total";"Piauí";"2º trimestre 2020";"1614"
"Total";"Piauí";"3º trimestre 2020";"1624"
"Total";"Piauí";"4º trimestre 2020";"1603"
"Total";"Piauí";"1º trimestre 2021";"1589"
"Total";"Piauí";"2º trimestre 2021";"1513"
"Total";"Piauí";"3º trimestre 2021";"1553"
"Total";"Piauí";"4º trimestre 2021";"1589"
