"Tabela 4093 - Pessoas de 14 anos ou mais de idade, total, na força de trabalho, ocupadas, desocupadas, fora da força de trabalho, e respectivas taxas e níveis, por sexo"
"Variável - Pessoas de 14 anos ou mais de idade (Mil pessoas)"
"Brasil, Grande Região e Unidade da Federação";"Trimestre x Sexo"
"Brasil, Grande Região e Unidade da Federação";"1º trimestre 2018";"2º trimestre 2018";"3º trimestre 2018";"4º trimestre 2018";"1º trimestre 2019";"2º trimestre 2019";"3º trimestre 2019";"4º trimestre 2019";"1º trimestre 2020";"2º trimestre 2020";"3º trimestre 2020";"4º trimestre 2020";"1º trimestre 2021";"2º trimestre 2021";"3º trimestre 2021";"4º trimestre 2021"
"Brasil, Grande Região e Unidade da Federação";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total"
"Nordeste";"24760";"24541";"25011";"25045";"24979";"25173";"25220";"25213";"24974";"...";"...";"...";"...";"...";"...";"..."
"Sudeste";"47513";"47639";"47903";"47883";"48161";"48610";"48746";"48673";"48037";"...";"...";"...";"...";"...";"...";"..."
"Sul";"15941";"15855";"15958";"16132";"16182";"16282";"16307";"16379";"16178";"...";"...";"...";"...";"...";"...";"..."
"Centro-Oeste";"8427";"8455";"8537";"8585";"8682";"8775";"8838";"8762";"8689";"...";"...";"...";"...";"...";"...";"..."
"Rondônia";"856";"838";"865";"876";"871";"868";"886";"883";"892";"...";"...";"...";"...";"...";"...";"..."
"Acre";"359";"351";"359";"364";"357";"358";"356";"353";"340";"...";"...";"...";"...";"...";"...";"..."
"Amazonas";"1794";"1772";"1812";"1834";"1844";"1887";"1899";"1902";"1908";"...";"...";"...";"...";"...";"...";"..."
"Roraima";"238";"240";"245";"253";"257";"249";"249";"256";"255";"...";"...";"...";"...";"...";"...";"..."
"Pará";"3789";"3837";"3838";"3866";"3836";"3839";"3915";"3881";"3874";"...";"...";"...";"...";"...";"...";"..."
"Amapá";"370";"368";"382";"377";"383";"402";"391";"393";"388";"...";"...";"...";"...";"...";"...";"..."
"Tocantins";"704";"715";"713";"732";"720";"728";"728";"723";"728";"...";"...";"...";"...";"...";"...";"..."
"Maranhão";"2681";"2598";"2624";"2651";"2591";"2624";"2656";"2660";"2644";"...";"...";"...";"...";"...";"...";"..."
"Piauí";"1401";"1430";"1454";"1461";"1452";"1467";"1538";"1503";"1434";"...";"...";"...";"...";"...";"...";"..."
"Ceará";"4095";"4055";"4138";"4125";"4122";"4163";"4184";"4227";"4143";"...";"...";"...";"...";"...";"...";"..."
"Rio Grande do Norte";"1518";"1521";"1570";"1548";"1522";"1540";"1543";"1534";"1565";"...";"...";"...";"...";"...";"...";"..."
"Paraíba";"1707";"1698";"1731";"1726";"1684";"1699";"1699";"1695";"1672";"...";"...";"...";"...";"...";"...";"..."
"Pernambuco";"4227";"4224";"4227";"4245";"4269";"4235";"4214";"4247";"4128";"...";"...";"...";"...";"...";"...";"..."
"Alagoas";"1145";"1143";"1183";"1193";"1202";"1246";"1234";"1193";"1224";"...";"...";"...";"...";"...";"...";"..."
"Sergipe";"1035";"1024";"1037";"1065";"1063";"1101";"1096";"1125";"1083";"...";"...";"...";"...";"...";"...";"..."
"Bahia";"6951";"6848";"7047";"7032";"7073";"7098";"7055";"7029";"7081";"...";"...";"...";"...";"...";"...";"..."
"Minas Gerais";"11200";"11278";"11280";"11224";"11183";"11389";"11483";"11461";"11286";"...";"...";"...";"...";"...";"...";"..."
"Espírito Santo";"2074";"2100";"2124";"2120";"2154";"2202";"2176";"2175";"2155";"...";"...";"...";"...";"...";"...";"..."
"Rio de Janeiro";"8822";"8848";"8867";"8924";"8992";"8955";"8999";"9008";"8942";"...";"...";"...";"...";"...";"...";"..."
"São Paulo";"25418";"25414";"25633";"25615";"25832";"26064";"26087";"26029";"25654";"...";"...";"...";"...";"...";"...";"..."
"Paraná";"6014";"5996";"6039";"6071";"6098";"6137";"6172";"6122";"6085";"...";"...";"...";"...";"...";"...";"..."
"Santa Catarina";"3871";"3852";"3887";"3939";"3920";"3916";"3922";"3983";"3896";"...";"...";"...";"...";"...";"...";"..."
"Rio Grande do Sul";"6056";"6007";"6032";"6121";"6164";"6229";"6212";"6274";"6197";"...";"...";"...";"...";"...";"...";"..."
"Mato Grosso do Sul";"1407";"1402";"1432";"1438";"1431";"1461";"1440";"1432";"1406";"...";"...";"...";"...";"...";"...";"..."
"Mato Grosso";"1731";"1756";"1773";"1796";"1823";"1853";"1855";"1820";"1842";"...";"...";"...";"...";"...";"...";"..."
"Goiás";"3673";"3669";"3673";"3689";"3751";"3764";"3847";"3836";"3765";"...";"...";"...";"...";"...";"...";"..."
"Distrito Federal";"1615";"1627";"1659";"1661";"1677";"1696";"1696";"1674";"1677";"...";"...";"...";"...";"...";"...";"..."
"Fonte: IBGE - Pesquisa Nacional por Amostra de Domicílios Contínua trimestral"

